x,y,w0,w1,SSE,SST,SSR,R2,MSE,N
Shoe number,Height,10.121826171875,4.05336856842041,15496.8466796875,53618.0703125,38121.09375,0.7109771966934204,60.299015045166016,257
Height,Shoe number,9.639408111572266,0.17540343105793,670.6028442382812,2320.2412109375,1649.63330078125,0.7109770774841309,2.609349489212036,257
Shoe number,Sex,-3.4859156608581543,0.10560397803783417,29.59490966796875,55.47081756591797,25.875795364379883,0.4664778709411621,0.11515528708696365,257
Sex,Shoe number,36.46914291381836,4.4172186851501465,1237.900146484375,2320.2412109375,1082.3359375,0.46647781133651733,4.816731929779053,257
Weight,Shoe number,31.401756286621094,0.11498580873012543,1437.9454345703125,2320.2412109375,882.2916870117188,0.3802603483200073,5.595118522644043,257
Shoe number,Weight,-60.22992706298828,3.30700421333313,41355.46875,66730.390625,25374.80078125,0.3802603483200073,160.9162139892578,257
Weight,Height,134.04225158691406,0.5138574838638306,35997.8515625,53618.0703125,17620.126953125,0.3286246061325073,140.0694580078125,257
Height,Weight,-38.473106384277344,0.6395214796066284,44801.14453125,66730.390625,21929.130859375,0.32862454652786255,174.32351684570312,257
Height,Sex,-2.002964973449707,0.01579137332737446,42.10017395019531,55.47081756591797,13.370603561401367,0.2410392165184021,0.16381390392780304,257
Sex,Height,159.7530975341797,15.263936996459961,40694.015625,53618.0703125,12924.0126953125,0.24103915691375732,158.34246826171875,257
Weight,Sex,-0.05614346265792847,0.010528494603931904,48.07377624511719,55.47081756591797,7.397010326385498,0.13335013389587402,0.1870574951171875,257
Sex,Weight,61.7037239074707,12.66558837890625,57831.8828125,66730.390625,8898.4638671875,0.13335013389587402,225.0267791748047,257
Age,Sex,0.899090588092804,-0.0075237443670630455,52.90345764160156,55.47081756591797,2.5673491954803467,0.046283066272735596,0.2058500349521637,257
Sex,Age,32.69135284423828,-6.151575088500977,43255.0078125,45354.12890625,2099.1201171875,0.04628288745880127,168.3074188232422,257
Age,Weight,63.94031524658203,0.2260335385799408,64413.1796875,66730.390625,2317.195068359375,0.03472495079040527,250.6349334716797,257
Weight,Age,17.666759490966797,0.15362650156021118,43779.21484375,45354.12890625,1574.9107666015625,0.03472483158111572,170.34713745117188,257
Age,Shoe number,39.72761154174805,-0.008197292685508728,2317.193603515625,2320.2412109375,3.0476107597351074,0.0013135075569152832,9.016317367553711,257
Shoe number,Age,34.80690383911133,-0.16023389995098114,45294.5625,45354.12890625,59.571929931640625,0.0013133883476257324,176.24343872070312,257
Age,Height,169.2394561767578,0.033946894109249115,53565.8046875,53618.0703125,52.2656364440918,0.0009747743606567383,208.42726135253906,257
Height,Age,23.59115982055664,0.028714807704091072,45309.921875,45354.12890625,44.21025466918945,0.0009747147560119629,176.30319213867188,257
